"Plot Title: 20248478"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 20248478, SEN S/N: 20248478)","Intensity, Lux (LGR S/N: 20248478, SEN S/N: 20248478)","End Of File (LGR S/N: 20248478)"
1,02/12/24 12:00:00 PM,18.901,118.4,
2,02/12/24 12:05:00 PM,18.901,107.6,
3,02/12/24 12:10:00 PM,18.901,118.4,
4,02/12/24 12:15:00 PM,18.901,129.2,
5,02/12/24 12:20:00 PM,18.901,139.9,
6,02/12/24 12:25:00 PM,18.901,107.6,
7,02/12/24 12:30:00 PM,18.901,118.4,
8,02/12/24 12:35:00 PM,18.901,129.2,
9,02/12/24 12:40:00 PM,18.901,118.4,
10,02/12/24 12:45:00 PM,18.901,107.6,
11,02/12/24 12:50:00 PM,18.901,107.6,
12,02/12/24 12:55:00 PM,18.901,107.6,
13,02/12/24 01:00:00 PM,18.901,118.4,
14,02/12/24 01:05:00 PM,18.901,139.9,
15,02/12/24 01:10:00 PM,18.901,150.7,
16,02/12/24 01:15:00 PM,18.901,118.4,
17,02/12/24 01:20:00 PM,18.901,118.4,
18,02/12/24 01:25:00 PM,18.901,118.4,
19,02/12/24 01:30:00 PM,18.901,129.2,
20,02/12/24 01:35:00 PM,18.901,172.2,
21,02/12/24 01:40:00 PM,18.901,96.9,
22,02/12/24 01:45:00 PM,18.901,96.9,
23,02/12/24 01:50:00 PM,18.901,86.1,
24,02/12/24 01:55:00 PM,18.901,86.1,
25,02/12/24 02:00:00 PM,18.901,75.3,
26,02/12/24 02:05:00 PM,18.901,64.6,
27,02/12/24 02:10:00 PM,18.901,86.1,
28,02/12/24 02:15:00 PM,18.901,86.1,
29,02/12/24 02:20:00 PM,18.901,75.3,
30,02/12/24 02:25:00 PM,18.901,53.8,
31,02/12/24 02:30:00 PM,18.901,64.6,
32,02/12/24 02:35:00 PM,18.901,53.8,
33,02/12/24 02:40:00 PM,18.901,53.8,
34,02/12/24 02:45:00 PM,18.901,53.8,
35,02/12/24 02:50:00 PM,18.901,53.8,
36,02/12/24 02:55:00 PM,18.901,53.8,
37,02/12/24 03:00:00 PM,18.901,64.6,
38,02/12/24 03:05:00 PM,18.901,75.3,
39,02/12/24 03:10:00 PM,18.901,53.8,
40,02/12/24 03:15:00 PM,18.901,43.1,
41,02/12/24 03:20:00 PM,18.901,43.1,
42,02/12/24 03:25:00 PM,18.901,43.1,
43,02/12/24 03:30:00 PM,18.901,32.3,
44,02/12/24 03:35:00 PM,18.901,32.3,
45,02/12/24 03:40:00 PM,18.901,32.3,
46,02/12/24 03:45:00 PM,18.901,21.5,
47,02/12/24 03:50:00 PM,18.901,21.5,
48,02/12/24 03:55:00 PM,18.901,10.8,
49,02/12/24 04:00:00 PM,18.901,10.8,
50,02/12/24 04:05:00 PM,18.901,10.8,
51,02/12/24 04:10:00 PM,18.901,10.8,
52,02/12/24 04:15:00 PM,18.901,10.8,
53,02/12/24 04:20:00 PM,18.901,10.8,
54,02/12/24 04:25:00 PM,18.901,10.8,
55,02/12/24 04:30:00 PM,18.901,0.0,
56,02/12/24 04:35:00 PM,18.901,0.0,
57,02/12/24 04:40:00 PM,18.901,0.0,
58,02/12/24 04:45:00 PM,18.901,0.0,
59,02/12/24 04:50:00 PM,18.901,0.0,
60,02/12/24 04:55:00 PM,18.901,0.0,
61,02/12/24 05:00:00 PM,18.901,0.0,
62,02/12/24 05:05:00 PM,18.901,0.0,
